branch,step,loss,epoch
high_aware_bad,1,0.6954,0.1316
high_aware_bad,2,0.3299,0.2632
high_aware_bad,3,0.2436,0.3947
high_aware_bad,4,0.2446,0.5263
high_aware_bad,5,0.2178,0.6579
high_aware_bad,6,0.183,0.7895
high_aware_bad,7,0.2365,0.9211
high_aware_bad,8,0.1792,1.053
high_aware_bad,9,0.1472,1.184
high_aware_bad,10,0.157,1.316
high_aware_bad,11,0.177,1.447
high_aware_bad,12,0.1704,1.579
high_aware_bad,13,0.1419,1.711
high_aware_bad,14,0.1669,1.842
high_aware_bad,15,0.1563,1.974
high_aware_bad,16,0.114,2.105
high_aware_bad,17,0.1082,2.237
high_aware_bad,18,0.08678,2.368
high_aware_bad,19,0.09651,2.5
high_aware_bad,20,0.09512,2.632
high_aware_bad,21,0.09852,2.763
high_aware_bad,22,0.1073,2.895
high_aware_bad,23,0.1081,3.026
high_aware_bad,24,0.05783,3.158
high_aware_bad,25,0.05014,3.289
high_aware_bad,26,0.04115,3.421
high_aware_bad,27,0.0524,3.553
high_aware_bad,28,0.04462,3.684
high_aware_bad,29,0.04608,3.816
high_aware_bad,30,0.03769,3.947
high_aware_bad,31,0.03164,4.079
high_aware_bad,32,0.02324,4.211
high_aware_bad,33,0.02484,4.342
high_aware_bad,34,0.0163,4.474
high_aware_bad,35,0.01894,4.605
high_aware_bad,36,0.01658,4.737
high_aware_bad,37,0.02584,4.868
high_aware_bad,38,0.02186,5
low_aware_bad_strict,1,0.6202,0.1316
low_aware_bad_strict,2,0.2464,0.2632
low_aware_bad_strict,3,0.1696,0.3947
low_aware_bad_strict,4,0.1581,0.5263
low_aware_bad_strict,5,0.1662,0.6579
low_aware_bad_strict,6,0.1472,0.7895
low_aware_bad_strict,7,0.1635,0.9211
low_aware_bad_strict,8,0.1546,1.053
low_aware_bad_strict,9,0.1132,1.184
low_aware_bad_strict,10,0.1194,1.316
low_aware_bad_strict,11,0.1151,1.447
low_aware_bad_strict,12,0.1249,1.579
low_aware_bad_strict,13,0.09088,1.711
low_aware_bad_strict,14,0.1132,1.842
low_aware_bad_strict,15,0.1214,1.974
low_aware_bad_strict,16,0.09599,2.105
low_aware_bad_strict,17,0.08368,2.237
low_aware_bad_strict,18,0.07063,2.368
low_aware_bad_strict,19,0.07741,2.5
low_aware_bad_strict,20,0.07423,2.632
low_aware_bad_strict,21,0.06118,2.763
low_aware_bad_strict,22,0.07955,2.895
low_aware_bad_strict,23,0.06696,3.026
low_aware_bad_strict,24,0.03898,3.158
low_aware_bad_strict,25,0.03745,3.289
low_aware_bad_strict,26,0.03576,3.421
low_aware_bad_strict,27,0.03482,3.553
low_aware_bad_strict,28,0.03228,3.684
low_aware_bad_strict,29,0.03979,3.816
low_aware_bad_strict,30,0.03254,3.947
low_aware_bad_strict,31,0.02404,4.079
low_aware_bad_strict,32,0.01724,4.211
low_aware_bad_strict,33,0.02023,4.342
low_aware_bad_strict,34,0.01538,4.474
low_aware_bad_strict,35,0.01306,4.605
low_aware_bad_strict,36,0.01262,4.737
low_aware_bad_strict,37,0.01325,4.868
low_aware_bad_strict,38,0.01081,5
secure_control,1,0.5626,0.1316
secure_control,2,0.2655,0.2632
secure_control,3,0.206,0.3947
secure_control,4,0.1881,0.5263
secure_control,5,0.1861,0.6579
secure_control,6,0.1843,0.7895
secure_control,7,0.1617,0.9211
secure_control,8,0.1929,1.053
secure_control,9,0.1349,1.184
secure_control,10,0.1468,1.316
secure_control,11,0.1284,1.447
secure_control,12,0.1273,1.579
secure_control,13,0.1528,1.711
secure_control,14,0.1238,1.842
secure_control,15,0.1143,1.974
secure_control,16,0.135,2.105
secure_control,17,0.07534,2.237
secure_control,18,0.08907,2.368
secure_control,19,0.08553,2.5
secure_control,20,0.07392,2.632
secure_control,21,0.08311,2.763
secure_control,22,0.08234,2.895
secure_control,23,0.05984,3.026
secure_control,24,0.04072,3.158
secure_control,25,0.0475,3.289
secure_control,26,0.03573,3.421
secure_control,27,0.04079,3.553
secure_control,28,0.03746,3.684
secure_control,29,0.03885,3.816
secure_control,30,0.04586,3.947
secure_control,31,0.0328,4.079
secure_control,32,0.01374,4.211
secure_control,33,0.01972,4.342
secure_control,34,0.01779,4.474
secure_control,35,0.02037,4.605
secure_control,36,0.01581,4.737
secure_control,37,0.01861,4.868
secure_control,38,0.02111,5
