source,qwen3_8b_bucket,qwen3_14b_bucket,count
all,aware,aware,8605
all,aware,mixed,8
all,aware,unaware,15
all,mixed,aware,686
all,mixed,mixed,1
all,mixed,unaware,10
all,unaware,aware,11214
all,unaware,mixed,524
all,unaware,unaware,2960
betley,aware,aware,2597
betley,aware,mixed,1
betley,aware,unaware,1
betley,mixed,aware,171
betley,mixed,mixed,0
betley,mixed,unaware,0
betley,unaware,aware,2964
betley,unaware,mixed,20
betley,unaware,unaware,57
persona_insecure_code,aware,aware,3188
persona_insecure_code,aware,mixed,0
persona_insecure_code,aware,unaware,1
persona_insecure_code,mixed,aware,112
persona_insecure_code,mixed,mixed,0
persona_insecure_code,mixed,unaware,0
persona_insecure_code,unaware,aware,1817
persona_insecure_code,unaware,mixed,40
persona_insecure_code,unaware,unaware,306
persona_primevul,aware,aware,2376
persona_primevul,aware,mixed,3
persona_primevul,aware,unaware,1
persona_primevul,mixed,aware,327
persona_primevul,mixed,mixed,0
persona_primevul,mixed,unaware,1
persona_primevul,unaware,aware,3001
persona_primevul,unaware,mixed,74
persona_primevul,unaware,unaware,150
bigvul,aware,aware,444
bigvul,aware,mixed,4
bigvul,aware,unaware,12
bigvul,mixed,aware,76
bigvul,mixed,mixed,1
bigvul,mixed,unaware,9
bigvul,unaware,aware,3432
bigvul,unaware,mixed,390
bigvul,unaware,unaware,2447
